"state_fips","region","region_name","id","id2","geography","pct_poverty","emp_status","households","hs_grad"
"01",3,"South Region","0500000US01117",1117,"Shelby County, Alabama",8.6,6.2,74790,91.3
"01",3,"South Region","0500000US01115",1115,"St. Clair County, Alabama",16.1,9.5,31673,82.4
"01",3,"South Region","0500000US01057",1057,"Fayette County, Alabama",20.8,11.3,6967,76.1
"01",3,"South Region","0500000US01129",1129,"Washington County, Alabama",15.9,19.8,6218,82
"01",3,"South Region","0500000US01049",1049,"DeKalb County, Alabama",20.1,9.5,24743,73.2
"01",3,"South Region","0500000US01055",1055,"Etowah County, Alabama",19.6,10.7,40001,82.1
"01",3,"South Region","0500000US01009",1009,"Blount County, Alabama",17.3,9.3,20934,78
"01",3,"South Region","0500000US01011",1011,"Bullock County, Alabama",20.5,17.4,3746,65.5
"01",3,"South Region","0500000US01013",1013,"Butler County, Alabama",25.9,12.2,8253,76.6
"01",3,"South Region","0500000US01103",1103,"Morgan County, Alabama",15.1,10.8,45856,81.9
"01",3,"South Region","0500000US01051",1051,"Elmore County, Alabama",12.9,8.6,28617,87.1
"01",3,"South Region","0500000US01099",1099,"Monroe County, Alabama",29.2,18.8,8390,78.6
"01",3,"South Region","0500000US01101",1101,"Montgomery County, Alabama",22,8.9,89143,85
"01",3,"South Region","0500000US01133",1133,"Winston County, Alabama",22.4,10.1,9526,73.8
"01",3,"South Region","0500000US01113",1113,"Russell County, Alabama",22.1,12.4,21568,81.3
"01",3,"South Region","0500000US01053",1053,"Escambia County, Alabama",26,16.2,13737,78.6
"01",3,"South Region","0500000US01033",1033,"Colbert County, Alabama",18.3,10,22442,83.7
"01",3,"South Region","0500000US01119",1119,"Sumter County, Alabama",38.5,16.7,4962,77
"01",3,"South Region","0500000US01015",1015,"Calhoun County, Alabama",21.7,13.5,45348,80
"01",3,"South Region","0500000US01031",1031,"Coffee County, Alabama",18.8,7.3,19086,83.1
"01",3,"South Region","0500000US01123",1123,"Tallapoosa County, Alabama",21.1,10.3,16437,80.3
