Region,Division,State (FIPS),Name,Region name
1,0,00,Northeast Region,Northeast Region
1,1,00,New England Division,Northeast Region
1,1,09,Connecticut,Northeast Region
1,1,23,Maine,Northeast Region
1,1,25,Massachusetts,Northeast Region
1,1,33,New Hampshire,Northeast Region
1,1,44,Rhode Island,Northeast Region
1,1,50,Vermont,Northeast Region
1,2,00,Middle Atlantic Division,Northeast Region
1,2,34,New Jersey,Northeast Region
1,2,36,New York,Northeast Region
1,2,42,Pennsylvania,Northeast Region
2,0,00,Midwest Region,Midwest Region
2,3,00,East North Central Division,Midwest Region
2,3,17,Illinois,Midwest Region
2,3,18,Indiana,Midwest Region
2,3,26,Michigan,Midwest Region
2,3,39,Ohio,Midwest Region
2,3,55,Wisconsin,Midwest Region
2,4,00,West North Central Division,Midwest Region
2,4,19,Iowa,Midwest Region
2,4,20,Kansas,Midwest Region
2,4,27,Minnesota,Midwest Region
2,4,29,Missouri,Midwest Region
2,4,31,Nebraska,Midwest Region
2,4,38,North Dakota,Midwest Region
2,4,46,South Dakota,Midwest Region
3,0,00,South Region,South Region
3,5,00,South Atlantic Division,South Region
3,5,10,Delaware,South Region
3,5,11,District of Columbia,South Region
3,5,12,Florida,South Region
3,5,13,Georgia,South Region
3,5,24,Maryland,South Region
3,5,37,North Carolina,South Region
3,5,45,South Carolina,South Region
3,5,51,Virginia,South Region
3,5,54,West Virginia,South Region
3,6,00,East South Central Division,South Region
3,6,01,Alabama,South Region
3,6,21,Kentucky,South Region
3,6,28,Mississippi,South Region
3,6,47,Tennessee,South Region
3,7,00,West South Central Division,South Region
3,7,05,Arkansas,South Region
3,7,22,Louisiana,South Region
3,7,40,Oklahoma,South Region
3,7,48,Texas,South Region
4,0,00,West Region,West Region
4,8,00,Mountain Division,West Region
4,8,04,Arizona,West Region
4,8,08,Colorado,West Region
4,8,16,Idaho,West Region
4,8,30,Montana,West Region
4,8,32,Nevada,West Region
4,8,35,New Mexico,West Region
4,8,49,Utah,West Region
4,8,56,Wyoming,West Region
4,9,00,Pacific Division,West Region
4,9,02,Alaska,West Region
4,9,06,California,West Region
4,9,15,Hawaii,West Region
4,9,41,Oregon,West Region
4,9,53,Washington,West Region
